
Timestamp,ID,Extended,Bus,DLC,Data0,Data1,Data2,Data3,Data4,Data5,Data6,Data7
1683,170,0,0,8,98,70,F8,00,00,00,84,00
1694,185,0,0,6,6D,02,00,00,C0,F0,,
1694,180,0,0,8,3C,08,00,00,7D,FF,FF,02
1694,182,0,0,5,00,01,80,00,C8,,,
1694,191,0,0,5,81,01,FF,FF,C0,,,
1705,414,0,0,8,00,EA,CF,FC,FE,63,00,B9
1705,180,0,0,8,3D,09,00,00,7D,FF,FF,02
1705,172,0,0,8,B0,09,00,00,00,7D,00,7D
1716,1007,0,0,2,0C,00,,,,,,
1716,1426,0,0,8,30,01,00,7A,FA,01,00,03
1716,181,0,0,8,BB,09,80,00,08,30,00,44
1716,168,0,0,8,76,74,F8,72,F8,F1,03,00
1727,196,0,0,7,00,80,FD,00,80,FF,F2,
1727,180,0,0,8,3E,0A,00,00,7D,FF,FF,02
1727,172,0,0,8,B1,0A,00,00,00,7D,00,7D
1738,418,0,0,8,00,00,00,5F,D0,07,00,DA
1738,168,0,0,8,77,75,F8,72,F8,F1,03,00
1738,181,0,0,8,BD,0B,80,00,08,30,00,44
1749,168,0,0,8,78,76,F8,72,F8,F1,03,00
1749,196,0,0,7,00,80,FD,00,80,FF,F2,
1749,180,0,0,8,3F,0B,00,00,7D,FF,FF,02
1760,172,0,0,8,B2,0B,00,00,00,7D,00,7D
1760,418,0,0,8,00,00,00,6F,D0,07,00,EA
1760,181,0,0,8,BF,0D,80,00,08,30,00,44
1770,168,0,0,8,7A,78,F8,72,F8,F1,03,00
1771,196,0,0,7,00,80,FD,00,80,FF,F2,
1771,172,0,0,8,B3,0C,00,00,00,7D,00,7D
1771,418,0,0,8,00,00,00,7F,D0,07,00,FA
1782,186,0,0,8,03,FF,0F,00,00,83,87,2F
1782,181,0,0,8,B2,00,80,00,08,30,00,44
1782,168,0,0,8,7C,7A,F8,72,F8,F1,03,00
1793,196,0,0,7,00,80,FD,00,80,FF,F2,
1793,169,0,0,8,16,5A,87,CF,2B,87,FF,08
1793,181,0,0,8,B3,01,80,00,08,30,00,44
1804,170,0,0,8,A3,7B,F8,00,00,00,84,00
1804,196,0,0,7,00,80,FD,00,80,FF,F2,
1804,185,0,0,6,73,08,00,00,C0,F0,,
1814,180,0,0,8,42,0E,00,00,7D,FF,FF,02
1815,172,0,0,8,B5,0E,00,00,00,7D,00,7D
1815,690,0,0,8,00,00,00,00,3F,00,01,04
1815,181,0,0,8,B6,04,80,00,08,30,00,44
1826,168,0,0,8,80,7E,F8,72,F8,F1,03,00
1826,180,0,0,8,34,00,00,00,7D,FF,FF,02
1826,172,0,0,8,A7,00,00,00,00,7D,00,7D
1837,418,0,0,8,00,00,00,AF,D0,07,00,2B
1837,168,0,0,8,72,70,F8,72,F8,F1,03,00
1837,181,0,0,8,B8,06,80,00,08,30,00,44
1848,168,0,0,8,73,71,F8,72,F8,F1,03,00
1848,196,0,0,7,00,80,FD,00,80,FF,F2,
1848,180,0,0,8,35,01,00,00,7D,FF,FF,02
1859,172,0,0,8,A8,01,00,00,00,7D,00,7D
1859,418,0,0,8,00,00,00,BF,D0,07,00,3B
1859,168,0,0,8,75,73,F8,72,F8,F1,03,00
1870,181,0,0,8,BA,08,80,00,08,30,00,44
1870,169,0,0,8,0F,53,87,CF,2B,87,FF,08
1870,180,0,0,8,36,02,00,00,7D,FF,FF,02
1870,172,0,0,8,A9,02,00,00,00,7D,00,7D
1881,418,0,0,8,00,00,00,CF,D0,07,00,4B
1881,181,0,0,8,BC,0A,80,00,08,30,00,44
1881,168,0,0,8,77,75,F8,72,F8,F1,03,00
1892,196,0,0,7,00,80,FD,00,80,FF,F2,
1892,169,0,0,8,11,55,87,CF,2B,87,FF,08
1892,418,0,0,8,00,00,00,DF,D0,07,00,5B
1903,168,0,0,8,78,76,F8,72,F8,F1,03,00
1903,186,0,0,8,03,FF,0F,00,00,89,8D,2F
1903,196,0,0,7,00,80,FD,00,80,FF,F2,
1914,185,0,0,6,78,0D,00,00,C0,F0,,
1914,180,0,0,8,38,04,00,00,7D,FF,FF,02
1914,206,0,0,8,00,00,00,00,00,00,00,00
1924,191,0,0,5,8C,0C,FF,FF,C0,,,
1925,414,0,0,8,00,EA,DF,FC,FE,63,00,C9
1925,180,0,0,8,39,05,00,00,7D,FF,FF,02
1925,172,0,0,8,AC,05,00,00,00,7D,00,7D
1936,418,0,0,8,00,00,00,0F,D0,07,00,8A
1936,464,0,0,8,4B,30,46,C9,00,00,CD,88
1936,373,0,0,3,FF,FF,FF,,,,,
1947,168,0,0,8,7D,7B,F8,72,F8,F1,03,00
1947,181,0,0,8,B3,01,80,00,08,30,00,44
1947,180,0,0,8,3A,06,00,00,7D,FF,FF,02
1957,172,0,0,8,AD,06,00,00,00,7D,00,7D
1958,418,0,0,8,00,00,00,1F,D0,07,00,9A
1958,168,0,0,8,7F,7D,F8,72,F8,F1,03,00
1958,181,0,0,8,B5,03,80,00,08,30,00,44
1969,169,0,0,8,19,5D,87,CF,2B,87,FF,08
1969,180,0,0,8,3B,07,00,00,7D,FF,FF,02
1969,172,0,0,8,AE,07,00,00,00,7D,00,7D
1980,418,0,0,8,00,00,00,2F,D0,07,00,AA
1980,168,0,0,8,80,7E,F8,72,F8,F1,03,00
1980,181,0,0,8,B7,05,80,00,08,30,00,44
1991,168,0,0,8,72,70,F8,72,F8,F1,03,00
1991,196,0,0,7,00,80,FD,00,80,FF,F2,
1991,172,0,0,8,AF,08,00,00,00,7D,00,7D
2002,418,0,0,8,00,00,00,3F,D0,07,00,BA
2002,168,0,0,8,73,71,F8,72,F8,F1,03,00
2002,168,0,0,8,74,72,F8,72,F8,F1,03,00
2013,181,0,0,8,B9,07,80,00,08,30,00,44
2013,169,0,0,8,0E,52,87,CF,2B,87,FF,08
2013,169,0,0,8,0F,53,87,CF,2B,87,FF,08
2013,181,0,0,8,BA,08,80,00,08,30,00,44
2024,170,0,0,8,9B,73,F8,00,00,00,84,00
2024,185,0,0,6,6F,04,00,00,C0,F0,,
2024,180,0,0,8,3E,0A,00,00,7D,FF,FF,02
2035,172,0,0,8,B1,0A,00,00,00,7D,00,7D
2035,418,0,0,8,00,00,00,5F,D0,07,00,DA
2035,464,0,0,8,4B,30,47,C9,00,00,CD,88
2046,373,0,0,3,FF,FF,FF,,,,,
2046,168,0,0,8,78,76,F8,72,F8,F1,03,00
2046,180,0,0,8,3F,0B,00,00,7D,FF,FF,02
2046,172,0,0,8,B2,0B,00,00,00,7D,00,7D
2057,418,0,0,8,00,00,00,6F,D0,07,00,EA
2057,1174,0,0,8,17,52,FF,01,FF,FF,FF,FF
2057,168,0,0,8,7A,78,F8,72,F8,F1,03,00
2068,466,0,0,6,F0,0F,FF,9C,F0,FF,,
2068,169,0,0,8,14,58,87,CF,2B,87,FF,08
